name,importance
f_821,431.4949999999791
f_286,299.35499999998063
f_969,295.3799999999815
f_977,278.3949999999847
f_694,239.7449999999896
f_392,237.42999999998716
f_36,227.03499999998726
f_577,222.16499999998777
f_275,216.2249999999888
f_358,213.7149999999896
f_16,212.11499999998784
f_769,211.044999999991
f_244,207.39999999999227
f_717,199.69999999999067
f_763,197.40499999999182
f_34,191.81999999999002
f_878,164.77999999999324
f_915,164.76999999999325
f_28,159.9249999999959
f_952,155.534999999995
f_149,154.63499999999578
f_758,146.779999999997
f_770,145.14999999999634
f_150,144.41499999999604
f_363,143.42999999999742
f_393,142.9899999999972
f_599,142.09499999999673
f_96,140.7049999999977
f_27,138.78499999999713
f_706,136.76499999999817
f_793,134.79499999999925
f_543,133.8099999999996
f_409,133.4199999999994
f_837,129.32999999999876
f_987,129.23999999999992
f_822,128.8050000000007
f_147,120.25500000000089
f_705,119.27000000000115
f_118,118.93500000000017
f_760,117.44500000000077
f_798,114.93000000000083
f_288,114.49500000000035
f_566,111.76000000000123
f_280,111.37000000000094
f_867,109.68500000000063
f_759,108.95000000000097
f_877,108.59000000000181
f_140,108.12000000000114
f_633,107.18500000000047
f_192,106.96500000000125
f_790,105.77000000000129
f_429,103.1800000000005
f_301,102.78500000000106
f_64,102.14000000000136
f_616,100.79000000000104
f_672,100.42500000000099
f_1007,96.48000000000123
f_825,88.59000000000073
f_405,86.93000000000134
f_783,86.78000000000112
f_460,86.55000000000092
f_385,86.41000000000139
f_838,86.03000000000124
f_305,85.35000000000103
f_38,85.16000000000115
f_828,84.41500000000124
f_849,81.9050000000014
f_699,80.57500000000141
f_284,80.4550000000015
f_855,80.4400000000012
f_507,79.33500000000153
f_212,78.59500000000156
f_258,78.19000000000139
f_330,77.92500000000209
f_586,77.84500000000179
f_882,77.29000000000161
f_908,75.91500000000198
f_1003,75.68500000000206
f_60,74.94000000000193
f_309,74.12500000000168
f_43,73.50500000000211
f_682,73.29500000000249
f_848,72.9600000000021
f_165,72.4250000000024
f_843,72.2200000000025
f_903,71.83000000000214
f_587,71.29500000000206
f_30,70.97000000000253
f_535,70.69500000000217
f_972,69.63500000000211
f_249,69.07500000000255
f_776,68.81500000000246
f_1010,68.06000000000205
f_204,67.57500000000317
f_756,67.30000000000248
f_943,66.9000000000032
f_401,66.84500000000271
f_14,66.77500000000184
f_588,66.47000000000283
f_513,66.32500000000304
f_816,66.19000000000266
f_934,65.93000000000283
f_982,64.4550000000031
f_730,64.45000000000137
f_205,64.3750000000034
f_993,63.565000000002236
f_456,63.42000000000296
f_709,63.38000000000349
f_809,63.26000000000322
f_754,62.635000000003
f_781,62.37500000000282
f_300,61.95500000000281
f_832,61.92000000000338
f_243,61.650000000002876
f_148,61.63500000000301
f_382,61.30500000000224
f_833,60.86000000000324
f_955,60.815000000003295
f_642,60.33500000000312
f_658,60.15500000000275
f_971,59.94000000000298
f_450,59.525000000003
f_638,59.480000000002356
f_990,59.37000000000315
f_4,59.28500000000252
f_869,58.385000000002464
f_814,58.05000000000288
f_852,57.31500000000253
f_981,57.00500000000275
f_669,55.80500000000214
f_623,55.62000000000254
f_427,55.30500000000229
f_949,54.92000000000269
f_800,54.92000000000242
f_9,54.91000000000251
f_237,54.80000000000257
f_370,54.45000000000246
f_1011,54.14500000000228
f_732,54.055000000002536
f_831,53.98500000000242
f_1022,53.84000000000238
f_594,53.70500000000215
f_917,53.27000000000241
f_352,52.865000000001984
f_261,52.53000000000229
f_311,52.51500000000213
f_676,52.31000000000205
f_269,51.81500000000205
f_459,51.710000000001706
f_256,51.475000000002574
f_574,50.18500000000239
f_595,50.150000000002144
f_684,49.78500000000225
f_691,49.450000000001864
f_654,48.99000000000206
f_570,48.90000000000143
f_75,48.565000000002314
f_2,48.51000000000153
f_304,48.500000000002025
f_95,48.33000000000173
f_564,48.320000000002075
f_226,48.24000000000176
f_465,48.12000000000186
f_572,48.085000000001784
f_810,47.975000000002034
f_390,47.670000000002446
f_602,47.625000000002025
f_853,47.515000000002104
f_951,47.440000000002165
f_675,47.10000000000202
f_296,46.84500000000141
f_83,46.80500000000196
f_496,46.74500000000187
f_857,46.19000000000184
f_158,45.95000000000169
f_920,45.680000000001755
f_425,45.515000000001656
f_374,45.48000000000149
f_476,45.04500000000123
f_119,44.920000000001465
f_421,44.555000000001776
f_780,43.850000000001394
f_827,43.54000000000148
f_134,43.375000000001485
f_568,43.34000000000137
f_826,42.88500000000156
f_557,42.740000000001416
f_954,42.73500000000164
f_44,42.690000000001284
f_992,42.635000000001426
f_230,42.49000000000138
f_1020,42.41500000000151
f_604,41.84500000000124
f_232,41.75500000000118
f_731,41.670000000001174
f_677,41.475000000001195
f_549,41.42000000000132
f_443,41.25000000000124
f_5,41.23000000000105
f_157,39.865000000001025
f_492,39.60000000000106
f_546,39.01500000000088
f_45,38.900000000000915
f_318,37.80000000000074
f_367,37.2550000000007
f_524,37.070000000000704
f_806,36.98000000000055
f_573,36.700000000000514
f_690,36.57500000000061
f_124,36.555000000000476
f_55,36.21000000000065
f_262,36.125000000000426
f_201,35.71000000000044
f_687,35.585000000000385
f_290,35.56000000000036
f_975,35.3750000000004
f_593,35.26000000000043
f_590,35.19500000000026
f_129,35.085000000000385
f_660,34.875000000000284
f_720,34.78000000000025
f_649,34.35500000000026
f_321,34.35500000000013
f_942,34.200000000000244
f_198,34.13500000000019
f_80,33.85500000000011
f_312,33.8050000000001
f_447,33.774999999999956
f_666,33.3749999999999
f_974,33.37000000000007
f_238,33.235000000000134
f_136,33.00000000000007
f_65,32.98499999999995
f_881,32.72500000000004
f_391,32.2499999999998
f_72,31.93499999999978
f_111,31.669999999999835
f_945,31.630000000000003
f_378,31.62999999999976
f_589,31.489999999999696
f_960,31.399999999999768
f_252,31.399999999999736
f_890,31.369999999999898
f_499,31.289999999999743
f_372,31.234999999999967
f_187,31.00499999999972
f_894,30.939999999999927
f_619,30.704999999999945
f_81,30.404999999999777
f_354,30.384999999999998
f_502,30.29999999999967
f_350,29.909999999999698
f_420,29.60999999999983
f_213,29.52999999999983
f_1005,29.45999999999981
f_1013,29.295000000000087
f_12,28.540000000000003
f_515,28.509999999999874
f_77,28.449999999999932
f_254,28.42999999999986
f_823,28.419999999999856
f_726,28.279999999999944
f_101,28.029999999999824
f_743,28.020000000000095
f_32,28.020000000000056
f_188,27.779999999999873
f_707,27.47499999999998
f_410,27.324999999999875
f_1004,27.319999999999997
f_605,27.269999999999882
f_10,27.254999999999878
f_228,27.17499999999998
f_617,26.920000000000027
f_689,26.83000000000006
f_474,26.764999999999954
f_859,26.624999999999932
f_984,26.505000000000077
f_555,26.459999999999877
f_766,26.349999999999973
f_349,26.31999999999996
f_773,26.094999999999985
f_152,25.980000000000068
f_964,25.91999999999993
f_434,25.610000000000117
f_294,25.380000000000056
f_59,25.26999999999998
f_686,24.91999999999998
f_7,24.91999999999996
f_580,24.900000000000134
f_653,24.83999999999998
f_18,24.500000000000018
f_197,24.42500000000003
f_637,24.390000000000075
f_274,24.205000000000116
f_628,24.185000000000052
f_442,24.09000000000006
f_681,24.075000000000056
f_495,23.795000000000062
f_265,23.77000000000011
f_218,23.660000000000014
f_76,23.53000000000013
f_597,23.505000000000088
f_416,23.165000000000074
f_674,23.14000000000015
f_268,23.110000000000134
f_518,23.010000000000247
f_102,23.01000000000006
f_531,22.930000000000078
f_231,22.925000000000196
f_772,22.905000000000026
f_919,22.770000000000152
f_455,22.74000000000015
f_734,22.73500000000014
f_417,22.69000000000009
f_504,22.625000000000128
f_761,22.420000000000105
f_344,22.415000000000116
f_839,22.070000000000263
f_15,22.00000000000023
f_953,21.830000000000148
f_424,21.785000000000213
f_713,21.740000000000215
f_143,21.63000000000016
f_86,21.480000000000228
f_996,21.46000000000019
f_957,21.4200000000002
f_135,21.24500000000014
f_359,21.06500000000024
f_866,21.050000000000264
f_621,20.925000000000267
f_929,20.745000000000196
f_1015,20.535000000000288
f_902,20.43500000000031
f_970,20.305000000000277
